date,volume,open,close,high,low,adjclose
2009/1/2,7558200,83.88999939,87.37000275,87.58999634,83.88999939,64.98316193
2009/1/5,8315700,86.41999817,86.81999969,87.66999817,86.18000031,64.57408142
2009/1/6,9649500,87.11000061,89.23000336,90.41000366,86.37000275,66.36654663
2009/1/7,8455100,87.83000183,87.79000092,88.80000305,87.12000275,65.2955246
2009/1/8,7231800,87.80999756,87.18000031,88.13999939,85.98000336,64.84182739
2009/1/9,7440300,87.05000305,84.69999695,87.5,84.25,62.99729538
2009/1/12,8072700,84.56999969,85.70999908,86.59999847,84.41999817,63.74847031
2009/1/13,7657200,85.5,85.33999634,86.58999634,84.79000092,63.47332001
2009/1/14,9470000,84.19999695,83.19000244,84.81999969,82.11000061,61.87418747
2009/1/15,11734800,83.61000061,84.12000275,84.83000183,82.26000214,62.56590271
2009/1/16,11245300,84.61000061,84.91999817,85.73999786,83.08000183,63.16090012
2009/1/20,13800100,84.76000214,81.98000336,84.91999817,81.76000214,60.97423553
2009/1/21,24905000,86.29000092,91.41999817,91.59999847,86,67.9954071
2009/1/22,12350700,89.83000183,90.06999969,90.73999786,88.11000061,66.99133301
2009/1/23,10253700,88.40000153,89.48999786,90.69999695,87.80999756,66.55993652
2009/1/26,9840800,89.76999664,91.59999847,92.66999817,89.51999664,68.12928772
2009/1/27,8720800,91.76999664,91.66000366,91.97000122,90.5,68.17391205
2009/1/28,13407200,92.69999695,94.81999969,94.94000244,91.91000366,70.5242157
2009/1/29,9233500,93.58000183,92.51000214,94.58000183,92.01999664,68.80615234
2009/1/30,9617000,92.23000336,91.65000153,93.48000336,91.25,68.16651154
2009/2/2,9926400,90.59999847,90.93000031,91.86000061,89.69000244,67.63098907
2009/2/3,8864500,91.06999969,93.48000336,93.73000336,90.16000366,69.52759552
2009/2/4,10189800,93.73999786,92.83000183,94.91000366,91.81999969,69.04413605
2009/2/5,11622900,92.12999725,92.41000366,93.19999695,91.22000122,68.73176575
2009/2/6,13055900,92.51000214,96.13999939,97.09999847,91.65000153,71.89501953
2009/2/9,8165800,95.93000031,96.81999969,96.98000336,94.72000122,72.40353394
2009/2/10,13541300,95.58000183,93.26999664,96.81999969,92.95999908,69.74878693
2009/2/11,10765700,93.48000336,95.16000366,95.76999664,93,71.16215515
2009/2/12,9917700,94.41000366,95.06999969,95.19999695,92.19999695,71.09484863
2009/2/13,6742400,94.79000092,93.83999634,95.18000031,93.56999969,70.17505646
2009/2/17,8903500,91.73000336,90.66999817,92.48999786,90.5,67.80445099
2009/2/18,8492600,91.16999817,91.51000214,92.25,90.44000244,68.43261719
2009/2/19,12622700,91.05999756,88.93000031,92.16000366,88.44999695,66.50325775
2009/2/20,12400700,88.05000305,88.79000092,89.90000153,87.33999634,66.39858246
2009/2/23,13509600,89.30000305,84.37000275,89.33000183,84.19000244,63.09323502
2009/2/24,12915300,84.62999725,86.40000153,87.08000183,84.09999847,64.61128235
2009/2/25,12646400,86,85.90000153,87.12000275,82.84999847,64.23738861
2009/2/26,17423200,86.84999847,88.97000122,90.19999695,86.33000183,66.53318024
2009/2/27,21311200,88.12000275,92.02999878,93.27999878,88.01000214,68.82148743
2009/3/2,15231700,91.16999817,89.05000305,91.90000153,88.75,66.59301758
2009/3/3,13744100,90.16000366,87.76999664,90.18000031,87.19000244,65.63578796
2009/3/4,15391700,88.97000122,89.48999786,91.23999786,87.59999847,66.92202759
2009/3/5,14930100,88.12999725,87.48000336,90.16000366,87.01999664,65.41892242
2009/3/6,15186000,87.47000122,85.80999756,88.25,83.80999756,64.1700592
2009/3/9,13151800,84.69999695,83.48000336,86.80000305,83.01999664,62.42767334
2009/3/10,15914800,85.11000061,87.25,87.25,83.63999939,65.24693298
2009/3/11,11823900,87.51000214,88.62000275,89.54000092,86.72000122,66.27145386
2009/3/12,11829200,88.58999634,90.40000153,90.59999847,87.48999786,67.60253906
2009/3/13,9111900,90.40000153,90.36000061,90.65000153,89.29000092,67.57263184
2009/3/16,11793700,91.65000153,91.22000122,93,90.54000092,68.21575928
2009/3/17,11489700,91.11000061,92.91000366,92.91000366,90.44999695,69.47956848
2009/3/18,17954300,89.45999908,91.94999695,92.90000153,89.41000366,68.76165771
2009/3/19,9899300,92.83999634,92.66000366,93.34999847,91.51000214,69.2926178
2009/3/20,12193900,93.16000366,92.51000214,95,92.18000031,69.1804657
